date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:00:15	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2010:00:15%20GMT	https://dappscon.org/robots.txt		(from )
03:00:16	85609/85609	---M--	200	added ('OK')	text/html	etag:%2204bc4138750db1:0%22	https://dappscon.org/connect/index.html	C:/Users/philip%20godwin/Desktop/goddy/AAAAA/dappscon.org/connect/index.html	(from )
03:00:18	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2010:00:18%20GMT	https://dappscon.org/icon.png	C:/Users/philip%20godwin/Desktop/goddy/AAAAA/dappscon.org/icon.1.delayed	(from https://dappscon.org/connect/index.html)
03:00:20	35892/35892	---M--	200	added ('OK')	text/css	etag:%220504e9cc854d81:0%22	https://dappscon.org/626080a21de40163ca358231/css/accountdapps.webflow.0df58fb16.min.css	C:/Users/philip%20godwin/Desktop/goddy/AAAAA/dappscon.org/626080a21de40163ca358231/css/accountdapps.webflow.0df58fb16.min.css	(from https://dappscon.org/connect/index.html)
03:00:22	13188/13188	---M--	200	added ('OK')	application/javascript	etag:%2201283fa4cf1d51:0%22	https://dappscon.org/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/philip%20godwin/Desktop/goddy/AAAAA/dappscon.org/ajax/libs/webfont/1.6.26/webfont.js	(from https://dappscon.org/connect/index.html)
03:00:23	1744/1744	---M--	200	added ('OK')	image/png	etag:%220bab49bc654d81:0%22	https://dappscon.org/626080a21de40163ca358231/626081326d2476afa4be558b_favicon-1.png	C:/Users/philip%20godwin/Desktop/goddy/AAAAA/dappscon.org/626080a21de40163ca358231/626081326d2476afa4be558b_favicon-1.png	(from https://dappscon.org/connect/index.html)
03:00:26	58991/58991	---M--	200	added ('OK')	application/javascript	etag:%2204cbe477b9d71:0%22	https://dappscon.org/static/widget/coinMarquee.js	C:/Users/philip%20godwin/Desktop/goddy/AAAAA/dappscon.org/static/widget/coinMarquee.js	(from https://dappscon.org/connect/index.html)
03:00:27	6633/6633	---M--	200	added ('OK')	image/jpeg	etag:%22071d3fdb9a7d71:0%22	https://dappscon.org/613e1e9bb24c439e2a897663/613e2d184301544418a71159_4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.jpeg	C:/Users/philip%20godwin/Desktop/goddy/AAAAA/dappscon.org/613e1e9bb24c439e2a897663/613e2d184301544418a71159_4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.jpg	(from https://dappscon.org/connect/index.html)
03:00:29	9649/9649	---M--	200	added ('OK')	image/jpeg	etag:%220175a84a199d71:0%22	https://dappscon.org/6123c46520e4ae37665fd43f/61268714eed7ac6f2f61e359_c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpeg	C:/Users/philip%20godwin/Desktop/goddy/AAAAA/dappscon.org/6123c46520e4ae37665fd43f/61268714eed7ac6f2f61e359_c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpg	(from https://dappscon.org/connect/index.html)
03:00:32	17070/17070	---M--	200	added ('OK')	image/png	etag:%220c1de37c754d81:0%22	https://dappscon.org/626080a21de40163ca358231/62608237ec63ba956edbee24_unnamed%20(4).png	C:/Users/philip%20godwin/Desktop/goddy/AAAAA/dappscon.org/626080a21de40163ca358231/62608237ec63ba956edbee24_unnamed%20(4).png	(from https://dappscon.org/connect/index.html)
